track_name,artist_name,playcount,listeners,genre_name
Follow God,Kanye West,1063444,158095,unknow
Selah,Kanye West,679300,131985,unknow
Closed On Sunday,Kanye West,640518,127360,unknow
On God,Kanye West,663463,124504,unknow
Every Hour,Kanye West,444716,116784,unknow
Everything We Need,Kanye West,510984,109601,unknow
bad guy,Billie Eilish,4504955,374134,unknow
God Is,Kanye West,503531,104919,unknow
Water,Kanye West,419437,100341,unknow
Jesus Is Lord,Kanye West,386348,99246,unknow
Lose You To Love Me,Selena Gomez,1553566,99103,unknow
USE THIS GOSPEL,Kanye West,491621,93389,unknow
Hands On,Kanye West,381842,91302,unknow
doN'T StArT nOw,Dua Lipa,1054860,91173,unknow
Everything I Wanted,Billie Eilish,565421,89022,unknow
Lights Up,Harry Styles,1616472,106546,unknow
Circles,Post Malone,1491938,158737,unknow
Dance Monkey,Tones And I,1032446,129397,unknow
It Might Be Time,Tame Impala,288625,75914,unknow
The Less I Know the Better,Tame Impala,5960059,496105,unknow
Highest In The Room,Travi$ Scott,1119190,110615,unknow
Look At Her Now,Selena Gomez,1014270,68112,unknow
Earfquake,"Tyler, the Creator",2099637,195109,unknow
DHL,Frank Ocean,645350,84532,unknow
In My Room,Frank Ocean,562173,61935,unknow
Orphans,Coldplay,236147,62610,unknow
Doin' Time,Lana Del Rey,1967225,178620,unknow
7 rings,Ariana Grande,6357383,261341,unknow
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,245282,59171,unknow
Truth Hurts,Lizzo,1917239,186269,unknow
Se̱orita,Shawn Mendes,2986492,190600,unknow
Someone You Loved,Lewis Capaldi,1593109,163314,unknow
Sad Day,FKA twigs,292697,57889,unknow
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3071303,235875,unknow
Home With You,FKA twigs,404081,61978,unknow
when the party's over,Billie Eilish,3018327,274294,unknow
bury a friend,Billie Eilish,2817056,262392,unknow
Memories,Maroon 5,419578,81030,unknow
nights,Frank Ocean,3311485,235879,unknow
thousand eyes,FKA twigs,194204,51600,unknow
"Thank U, Next",Ariana Grande,6304823,279686,unknow
hot girl bummer,Blackbear,623036,78055,unknow
How Do You Sleep?,Sam Smith,1442870,127897,unknow
Pink + White,Frank Ocean,3194046,275798,unknow
Lover,Taylor Swift,2243428,129388,unknow
Mr. Brightside,The Killers,21291705,2031304,unknow
Do I Wanna Know?,Arctic Monkeys,13099357,950860,unknow
Holy Terrain,FKA twigs,403374,67472,unknow
Cellophane,FKA twigs,736046,87079,unknow
Motivation,Normani,1722054,101223,unknow
